time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.083333,0.3968942669,0.7439034168,0.6357783658,0.4224221405,0.3296563615,0.2697006062,0.7182726172,0.3469184322,0.3469184322,0.3114210496,0.2163854376
0.166667,0.4804921804,0.7947841495,0.6726331852,0.4728414463,0.3735273351,0.3057127465,0.7529662184,0.4126631353,0.4126631353,0.3638305620,0.2596157608
0.250000,0.5127110343,0.7726908456,0.6473860441,0.4796694554,0.3832256740,0.3161978873,0.7133222964,0.4328103461,0.4328103461,0.3790350596,0.2768717466
0.333333,0.5166108583,0.7207927632,0.5978546769,0.4645980256,0.3763855135,0.3140918819,0.6491443479,0.4285086700,0.4285086700,0.3751547219,0.2802169945
0.416667,0.5037250043,0.6574783548,0.5396876211,0.4369871415,0.3606062976,0.3050069727,0.5794932243,0.4096073855,0.4096073855,0.3605108349,0.2751520397
0.500000,0.4811392852,0.5920006938,0.4809556734,0.4025996496,0.3400375304,0.2920181598,0.5126999191,0.3823443555,0.3823443555,0.3400126867,0.2649176164
0.583333,0.4534695224,0.5291393288,0.4259687703,0.3655286679,0.3171922015,0.2769757205,0.4523054857,0.3511564656,0.3511564656,0.3168292719,0.2516431196
0.666667,0.4237415974,0.4712241290,0.3768160894,0.3287064265,0.2936668178,0.2610386395,0.3994976865,0.3191955175,0.3191955175,0.2930486445,0.2367932446
0.750000,0.3939005139,0.4191904677,0.3342152325,0.2940941689,0.2704910469,0.2449420685,0.3542652489,0.2885535584,0.2885535584,0.2700142401,0.2213869394
0.833333,0.3651462738,0.3731824980,0.2980584697,0.2628317430,0.2483210486,0.2291492653,0.3159920544,0.2604565379,0.2604565379,0.2485303924,0.2061248584
0.916667,0.3381679108,0.3329129954,0.2677791783,0.2354049779,0.2275565854,0.2139447834,0.2837875128,0.2354690184,0.2354690184,0.2290064584,0.1914735202
1.000000,0.3133092010,0.2978806762,0.2425957891,0.2118247622,0.2084170312,0.1994944173,0.2566834791,0.2136944637,0.2136944637,0.2115683652,0.1777256829
1.083333,0.2906858208,0.2675002599,0.2216691286,0.1917973853,0.1909935143,0.1858849116,0.2337543968,0.1949500078,0.1949500078,0.1961494873,0.1650457571
1.166667,0.2702674301,0.2411780398,0.2041982034,0.1748687203,0.1752863361,0.1731507330,0.2141857727,0.1789036079,0.1789036079,0.1825650568,0.1535047321
1.250000,0.2519344902,0.2183533203,0.1894724659,0.1605330064,0.1612327749,0.1612922927,0.1973045612,0.1651712901,0.1651712901,0.1705711937,0.1431072091
1.333333,0.2355170743,0.1985186998,0.1768939573,0.1483050562,0.1487282372,0.1502883892,0.1825818629,0.1533787703,0.1533787703,0.1599089856,0.1338122604
1.416667,0.2208210103,0.1812275560,0.1659796153,0.1377604674,0.1376425316,0.1401046908,0.1696175499,0.1431948406,0.1431948406,0.1503345327,0.1255493785
1.500000,0.2076452151,0.1660941124,0.1563517381,0.1285513922,0.1278323790,0.1306994774,0.1581155169,0.1343445296,0.1343445296,0.1416366789,0.1182305109
1.583333,0.1957929635,0.1527895056,0.1477226539,0.1204060272,0.1191509041,0.1220274794,0.1478565989,0.1266092258,0.1266092258,0.1336447915,0.1117589850
1.666667,0.1850789980,0.1410359833,0.1398778483,0.1131190254,0.1114546482,0.1140423930,0.1386740335,0.1198195114,0.1198195114,0.1262292430,0.1060359817
1.750000,0.1753337883,0.1306005098,0.1326601869,0.1065382941,0.1046085313,0.1066984786,0.1304341393,0.1138448904,0.1138448904,0.1192971702,0.1009650926
1.833333,0.1664058248,0.1212884996,0.1259565255,0.1005517529,0.0984891265,0.0999515282,0.1230230125,0.1085831824,0.1085831824,0.1127857398,0.0964553962
1.916667,0.1581625456,0.1129380472,0.1196870143,0.0950759834,0.0929865628,0.0937594046,0.1163387325,0.1039511984,0.1039511984,0.1066546464,0.0924233997
2.000000,0.1504903024,0.1054148026,0.1137968058,0.0900474767,0.0880053410,0.0880822947,0.1102878255,0.0998774583,0.0998774583,0.1008790266,0.0887941246
2.083333,0.1432936506,0.0986075163,0.1082496139,0.0854164116,0.0834643118,0.0828827781,0.1047845083,0.0962971119,0.0962971119,0.0954434817,0.0855015560
2.166667,0.1364941660,0.0924242093,0.1030225656,0.0811425033,0.0792960351,0.0781257825,0.0997513445,0.0931488651,0.0931488651,0.0903374996,0.0824886272
2.250000,0.1300289439,0.0867888974,0.0981019227,0.0771923428,0.0754457073,0.0737784737,0.0951202633,0.0903735199,0.0903735199,0.0855522809,0.0797068758
2.333333,0.1238489006,0.0816387911,0.0934794359,0.0735376966,0.0718698114,0.0698101140,0.0908332697,0.0879136799,0.0879136799,0.0810787941,0.0771158759
2.416667,0.1179169750,0.0769219005,0.0891492596,0.0701543628,0.0685346172,0.0661919114,0.0868425255,0.0857141919,0.0857141919,0.0769068012,0.0746825297
2.500000,0.1122063112,0.0725949844,0.0851054592,0.0670213208,0.0654146311,0.0628968735,0.0831097543,0.0837229647,0.0837229647,0.0730245715,0.0723802789
2.583333,0.1066984863,0.0686217965,0.0813401806,0.0641200335,0.0624910735,0.0598996725,0.0796050933,0.0818918923,0.0818918923,0.0694190270,0.0701882858
2.666667,0.1013818348,0.0649715930,0.0778425308,0.0614338470,0.0597504391,0.0571765278,0.0763056051,0.0801776946,0.0801776946,0.0660761105,0.0680906195
2.750000,0.0962499097,0.0616178746,0.0745981617,0.0589474811,0.0571831809,0.0547051043,0.0731936697,0.0785425642,0.0785425642,0.0629812228,0.0660754723
2.833333,0.0913001044,0.0585373422,0.0715894819,0.0566466246,0.0547825440,0.0524644283,0.0702554490,0.0769545672,0.0769545672,0.0601196301,0.0641344266
2.916667,0.0865324548,0.0557090469,0.0687963627,0.0545176478,0.0525435629,0.0504348173,0.0674795584,0.0753877869,0.0753877869,0.0574767862,0.0622617834
3.000000,0.0819486246,0.0531137216,0.0661971656,0.0525474370,0.0504622271,0.0485978210,0.0648560226,0.0738222291,0.0738222291,0.0550385513,0.0604539609
3.083333,0.0775510745,0.0507332746,0.0637699087,0.0507233398,0.0485348150,0.0469361728,0.0623755359,0.0722435216,0.0722435216,0.0527913126,0.0587089651
3.166667,0.0733424050,0.0485504309,0.0614934024,0.0490332022,0.0467573864,0.0454337463,0.0600290094,0.0706424494,0.0706424494,0.0507220236,0.0570259355
3.250000,0.0693248599,0.0465485007,0.0593482184,0.0474654695,0.0451254220,0.0440755166,0.0578073601,0.0690143713,0.0690143713,0.0488181897,0.0554047612
3.333333,0.0654999732,0.0447112578,0.0573173997,0.0460093221,0.0436335966,0.0428475235,0.0557014831,0.0673585593,0.0673585593,0.0470678237,0.0538457655
3.416667,0.0618683405,0.0430229061,0.0553868674,0.0446548192,0.0422756661,0.0417368340,0.0537023468,0.0656775005,0.0656775005,0.0454593951,0.0523494535
3.500000,0.0584294934,0.0414681156,0.0535455224,0.0433930273,0.0410444526,0.0407315050,0.0518011566,0.0639761979,0.0639761979,0.0439817899,0.0509163166
3.583333,0.0551818586,0.0400321068,0.0517850778,0.0422161158,0.0399319076,0.0398205437,0.0499895403,0.0622614986,0.0622614986,0.0426242909,0.0495466874
3.666667,0.0521227818,0.0387007661,0.0500996801,0.0411174096,0.0389292351,0.0389938654,0.0482597214,0.0605414725,0.0605414725,0.0413765853,0.0482406386
3.750000,0.0492485993,0.0374607756,0.0484853907,0.0400913909,0.0380270581,0.0382422494,0.0466046588,0.0588248603,0.0588248603,0.0402287981,0.0469979199
3.833333,0.0465547419,0.0362997424,0.0469396035,0.0391336505,0.0372156107,0.0375572926,0.0450181396,0.0571205995,0.0571205995,0.0391715460,0.0458179246
3.916667,0.0440358584,0.0352063158,0.0454604662,0.0382407902,0.0364849438,0.0369313614,0.0434948236,0.0554374358,0.0554374358,0.0381960072,0.0446996815
4.000000,0.0416859478,0.0341702839,0.0440463627,0.0374102816,0.0358251294,0.0363575421,0.0420302406,0.0537836177,0.0537836177,0.0372939953,0.0436418667
4.083333,0.0394984921,0.0331826422,0.0426954966,0.0366402894,0.0352264554,0.0358295905,0.0406207502,0.0521666714,0.0521666714,0.0364580302,0.0426428284
4.166667,0.0374665833,0.0322356316,0.0414056007,0.0359294687,0.0346796024,0.0353418822,0.0392634717,0.0505932466,0.0505932466,0.0356813963,0.0417006228
4.250000,0.0355830396,0.0313227433,0.0401737801,0.0352767469,0.0341757956,0.0348893624,0.0379561958,0.0490690253,0.0490690253,0.0349581822,0.0408130550
4.333333,0.0338405103,0.0304386923,0.0389964808,0.0346811031,0.0337069290,0.0344674979,0.0366972858,0.0475986801,0.0475986801,0.0342832956,0.0399777235
4.416667,0.0322315646,0.0295793613,0.0378695690,0.0341413558,0.0332656599,0.0340722303,0.0354855776,0.0461858744,0.0461858744,0.0336524516,0.0391920654
4.500000,0.0307487679,0.0287417182,0.0367884923,0.0336559716,0.0328454728,0.0336999316,0.0343202828,0.0448332916,0.0448332916,0.0330621339,0.0384533997
4.583333,0.0293847429,0.0279237131,0.0357484949,0.0332229051,0.0324407138,0.0333473623,0.0332008986,0.0435426862,0.0435426862,0.0325095306,0.0377589678
4.666667,0.0281322186,0.0271241585,0.0347448560,0.0328394801,0.0320465983,0.0330116329,0.0321271266,0.0423149491,0.0423149491,0.0319924480,0.0371059708
4.750000,0.0269840686,0.0263425996,0.0337731235,0.0325023169,0.0316591937,0.0326901676,0.0310988003,0.0411501825,0.0411501825,0.0315092085,0.0364916016
4.833333,0.0259333392,0.0255791778,0.0328293177,0.0322073113,0.0312753824,0.0323806723,0.0301158199,0.0400477797,0.0400477797,0.0310585375,0.0359130729
4.916667,0.0249732703,0.0248344946,0.0319100897,0.0319496643,0.0308928063,0.0320811044,0.0291780939,0.0390065084,0.0390065084,0.0306394466,0.0353676409
5.000000,0.0240973099,0.0241094790,0.0310128212,0.0317239607,0.0305097996,0.0317896474,0.0282854845,0.0380245949,0.0380245949,0.0302511192,0.0348526240
5.083333,0.0232991246,0.0234052622,0.0301356629,0.0315242910,0.0301253116,0.0315046870,0.0274377584,0.0370998101,0.0370998101,0.0298928046,0.0343654178
5.166667,0.0225726061,0.0227230641,0.0292775127,0.0313444066,0.0297388244,0.0312247911,0.0266345388,0.0362295541,0.0362295541,0.0295637239,0.0339035069
5.250000,0.0219118769,0.0220640912,0.0284379428,0.0311779004,0.0293502673,0.0309486917,0.0258752624,0.0354109422,0.0354109422,0.0292629945,0.0334644732
5.333333,0.0213112929,0.0214294511,0.0276170837,0.0310183995,0.0289599334,0.0306752698,0.0251591389,0.0346408880,0.0346408880,0.0289895720,0.0330460021
