milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,642,42,684,93.86,0.3179,0.1423,0.9810,7.5442
AIR-5x,486,198,684,71.05,0.1772,0.0634,0.5027,4.8525
AIR-25x,614,70,684,89.77,0.1717,0.0959,0.9796,10.8449
AIR-250x,567,117,684,82.89,0.2281,0.1662,1.7532,29.4868
AIR-2000x,486,198,684,71.05,0.2060,0.1652,2.4122,54.5597
AIR-10000x,429,255,684,62.72,0.2180,0.1799,3.6802,59.4698
SAR-level-experiment-selection-skill,594,90,684,86.84,0.1419,0.0865,0.7753,7.4331
SIAR-level-experiment-selection-skill,670,14,684,97.95,0.2374,0.2082,1.9671,20.3292
STRAT-AI,670,14,684,97.95,0.2374,0.2082,1.9671,20.3292
TED-AI,649,35,684,94.88,0.2643,0.2074,2.3346,37.0019
ASI,633,51,684,92.54,0.3893,0.2567,4.0557,54.5525
