time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2025.600000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025.687656,1.2095039987,0.5160811929,0.7736314212,0.5838860945
2025.775311,1.9218168589,0.8470649831,1.2254588463,0.9060479477
2025.862967,2.5745555492,1.1556246989,1.6341641242,1.1830610251
2025.950622,3.1892262841,1.4522779261,2.0184325323,1.4366282191
2026.038278,3.7714291816,1.7393005782,2.3833622482,1.6729530196
2026.125933,4.3228812775,2.0172648391,2.7310172593,1.8950982429
2026.213589,4.8441122318,2.2861904274,3.0623677861,2.1048584659
2026.301245,5.3353105774,2.5459136696,3.3779359193,2.3034121356
2026.388900,5.7966313800,2.7962281553,3.6780547124,2.4916020689
2026.476556,6.2283119212,3.0369426554,3.9629836869,2.6700730569
2026.564211,6.6307103422,3.2679048897,4.2329631999,2.8393458208
2026.651867,7.0043113333,3.4890099922,4.4882402854,2.9998595221
2026.739522,7.3497175397,3.7002017944,4.7290803387,3.1519974875
2026.827178,7.6676351416,3.9014707011,4.9557714980,3.2961034183
2026.914833,7.9588576018,4.0928500079,5.1686251955,3.4324919411
2027.002489,8.2242494960,4.2744116012,5.3679747153,3.5614556591
2027.090145,8.4647313267,4.4462615288,5.5541727654,3.6832699695
2027.177800,8.6812657079,4.6085356906,5.7275886234,3.7981964159
2027.265456,8.8748450482,4.7613957776,5.8886051715,3.9064850574
2027.353111,9.0464807224,4.9050255133,6.0376159989,4.0083761677
2027.440767,9.1971936563,5.0396272197,6.1750226648,4.1041014671
2027.528422,9.3280062166,5.1654187028,6.3012321714,4.1938850276
2027.616078,9.4399352872,5.2826304476,6.4166546662,4.2779439450
2027.703734,9.5339864124,5.3915031014,6.5217013774,4.3564888440
2027.791389,9.6111488906,5.4922852267,6.6167827746,4.4297242632
2027.879045,9.6723917110,5.5852313002,6.7023069457,4.4978489526
2027.966700,9.7186602342,5.6705999377,6.7786781722,4.5610561081
2028.054356,9.7508735259,5.7486523236,6.8462956906,4.6195335590
2028.142011,9.7699222617,5.8196508273,6.9055526217,4.6734639233
2028.229667,9.7766671296,5.8838577878,6.9568350542,4.7230247379
2028.317323,9.7719376652,5.9415344498,7.0005212668,4.7683885715
2028.404978,9.7565314597,5.9929400379,7.0369810753,4.8097231258
2028.492634,9.7312136889,6.0383309538,7.0665752934,4.8471913275
2028.580289,9.6967169184,6.0779600850,7.0896552931,4.8808736743
2028.667945,9.6537411409,6.1120762128,7.1065626564,4.9109743018
2028.755600,9.6029540130,6.1409235102,7.1176289068,4.9376789548
2028.843256,9.5449912566,6.1647411201,7.1231753130,4.9611318469
2028.930912,9.4804571989,6.1837628047,7.1235127558,4.9814728326
2029.018567,9.4099254251,6.1982166599,7.1189416519,4.9988374858
2029.106223,9.3339395232,6.2083248859,7.1097519265,5.0133571777
2029.193878,9.2530139019,6.2143036092,7.0962230308,5.0251591555
2029.281534,9.1676346648,6.2163627498,7.0786239971,5.0343666217
2029.369189,9.0782605272,6.2147059282,7.0572135285,5.0410988134
2029.456845,8.9853237637,6.2095304082,7.0322401166,5.0454710828
2029.544500,8.8892311755,6.2010270703,7.0039421854,5.0475949780
2029.632156,8.7903650682,6.1893804132,6.9725482571,5.0475783236
2029.719812,8.6890842336,6.1747685791,6.9382771359,5.0455253025
2029.807467,8.5857249276,6.1573633997,6.9013381081,5.0415365372
2029.895123,8.4806018404,6.1373304605,6.8619311550,5.0357091712
2029.982778,8.3740090529,6.1148291814,6.8202471773,5.0281369511
2030.070434,8.2662209761,6.0900129095,6.7764682278,5.0189103076
2030.158089,8.1574932719,6.0630290245,6.7307677512,5.0081164363
2030.245745,8.0480637501,6.0340190535,6.6833108296,4.9958393793
2030.333401,7.9381532422,6.0031187933,6.6342544315,4.9821601045
2030.421056,7.8279664495,5.9704584396,6.5837476634,4.9671565860
2030.508712,7.7176927639,5.9361627220,6.5319320232,4.9509038825
2030.596367,7.6075070623,5.9003510425,6.4789416534,4.9334742159
2030.684023,7.4975704718,5.8631376174,6.4249035941,4.9149370487
2030.771678,7.3880311084,5.8246316216,6.3699380344,4.8953591605
2030.859334,7.2790247863,5.7849373337,6.3141585618,4.8748047232
2030.946990,7.1706756999,5.7441542831,6.2576724091,4.8533353761
2031.034645,7.0630970781,5.7023773961,6.2005806974,4.8310102989
2031.122301,6.9563918114,5.6596971417,6.1429786760,4.8078862840
2031.209956,6.8506530524,5.6161996773,6.0849559578,4.7840178082
2031.297612,6.7459647899,5.5719669922,6.0265967501,4.7594571018
2031.385267,6.6424023981,5.5270770499,5.9679800806,4.7342542181
2031.472923,6.5400331603,5.4816039285,5.9091800185,4.7084505940
2031.560578,6.4389167696,5.4356179587,5.8502658903,4.6820896765
2031.648234,6.3391058053,5.3891858592,5.7913024898,4.6552270786
2031.735890,6.2406461873,5.3423708697,5.7323502827,4.6279046182
2031.823545,6.1435776088,5.2952328816,5.6734656054,4.6001622684
2031.911201,6.0479339478,5.2478285645,5.6147008584,4.5720382187
2031.998856,5.9537436587,5.2002114910,5.5561046934,4.5435689341
2032.086512,5.8610301437,5.1524322579,5.4977221946,4.5147892128
2032.174167,5.7698121070,5.1045386041,5.4395950544,4.4857322433
2032.261823,5.6801038889,5.0565755257,5.3817617427,4.4564296592
2032.349479,5.5919157848,5.0085853876,5.3242576716,4.4269115937
2032.437134,5.5052543461,4.9606085396,5.2671153525,4.3972067316
2032.524790,5.4201226660,4.9126828948,5.2103645493,4.3673423610
2032.612445,5.3365206496,4.8648434283,5.1540324246,4.3373444231
2032.700101,5.2544452700,4.8171229486,5.0981436811,4.3072375610
2032.787756,5.1738908100,4.7695521492,5.0427206973,4.2770451671
2032.875412,5.0948490902,4.7221597013,4.9877836579,4.2467894290
2032.963068,5.0173096855,4.6749723431,4.9333506787,4.2164913748
2033.050723,4.9412601277,4.6280149671,4.8794379268,4.1861709162
2033.138379,4.8666860977,4.5813107029,4.8260597350,4.1558468914
2033.226034,4.7935716061,4.5348809988,4.7732287125,4.1255371059
2033.313690,4.7218991631,4.4887456994,4.7209598697,4.0952583731
2033.401345,4.6516499382,4.4429231210,4.6692614388,4.0650265523
2033.489001,4.5828039104,4.3974301241,4.6181388367,4.0348565872
2033.576657,4.5153400089,4.3522821837,4.5675987382,4.0047625421
2033.664312,4.4492362450,4.3074934563,4.5176465784,3.9747576374
2033.751968,4.3844698357,4.2630768449,4.4682866357,3.9448542842
2033.839623,4.3210173192,4.2190440619,4.4195221111,3.9150641173
2033.927279,4.2588546624,4.1754056888,4.3713552025,3.8853980278
2034.014934,4.1979573621,4.1321712345,4.3237871765,3.8558661941
2034.102590,4.1383005379,4.0893491905,4.2768184360,3.8264781125
2034.190245,4.0798590196,4.0469470847,4.2304485842,3.7972426262
2034.277901,4.0226074281,4.0049715329,4.1846764858,3.7681679536
2034.365557,3.9665202497,3.9634282878,4.1395003240,3.7392620493
2034.453212,3.9115719057,3.9223222869,4.0949176558,3.7105371349
2034.540868,3.8577368160,3.8816576973,4.0509254628,3.6819946018
2034.628523,3.8049894577,3.8414379602,4.0075202002,3.6536403846
2034.716179,3.7533044192,3.8016658321,3.9646978429,3.6254799244
2034.803834,3.7026564491,3.7623434253,3.9224539283,3.5975181919
2034.891490,3.6530205017,3.7234722461,3.8807835974,3.5697597096
2034.979146,3.6043717775,3.6850532317,3.8396816331,3.5422085728
2035.066801,3.5566857603,3.6470867858,3.7991424962,3.5148684708
2035.154457,3.5099382508,3.6095728117,3.7591603592,3.4877427058
2035.242112,3.4641053960,3.5725107453,3.7197291381,3.4608342128
2035.329768,3.4191637167,3.5358995852,3.6808425223,3.4341455776
2035.417423,3.3750901304,3.4997379231,3.6424940019,3.4076790548
2035.505079,3.3318619726,3.4640239711,3.6046768943,3.3814365845
2035.592735,3.2894570146,3.4287555892,3.5673843682,3.3554198089
2035.680390,3.2478534793,3.3939303105,3.5306094662,3.3296300882
2035.768046,3.2070300540,3.3595453663,3.4943451260,3.3040685157
2035.855701,3.1669659019,3.3255977089,3.4585841999,3.2787359322
2035.943357,3.1276406709,3.2920840338,3.4233194732,3.2536329403
2036.031012,3.0890345002,3.2590008015,3.3885436806,3.2287599178
2036.118668,3.0511280259,3.2263442567,3.3542495224,3.2041170303
2036.206323,3.0139023844,3.1941104484,3.3204296783,3.1797042441
2036.293979,2.9773392146,3.1622952472,3.2870768213,3.1555213379
2036.381635,2.9414206580,3.1308943633,3.2541836295,3.1315679142
2036.469290,2.9061293583,3.0999033623,3.2217427975,3.1078434099
2036.556946,2.8714484593,3.0693176812,3.1897470467,3.0843471076
2036.644601,2.8373616016,3.0391326428,3.1581891347,3.0610781446
2036.732257,2.8038529190,3.0093434697,3.1270618636,3.0380355233
2036.819912,2.7709070327,2.9799452973,3.0963580884,3.0152181203
2036.907568,2.7385090461,2.9509331866,3.0660707234,2.9926246945
2036.995224,2.7066445375,2.9223021355,3.0361927491,2.9702538965
2037.082879,2.6752995531,2.8940470902,3.0067172174,2.9481042757
2037.170535,2.6444605988,2.8661629552,2.9776372573,2.9261742885
2037.258190,2.6141146317,2.8386446035,2.9489460789,2.9044623056
2037.345846,2.5842490510,2.8114868853,2.9206369778,2.8829717253
2037.433501,2.5548516887,2.7846846370,2.8927033385,2.8616972943
2037.521157,2.5259107995,2.7582326891,2.8651386376,2.8406354046
2037.608813,2.4974150506,2.7321258738,2.8379364463,2.8197841447
2037.696468,2.4693535114,2.7063590317,2.8110904327,2.7991415494
2037.784124,2.4417156429,2.6809270186,2.7845943639,2.7787056060
2037.871779,2.4144912867,2.6558247118,2.7584421072,2.7584742585
2037.959435,2.3876706540,2.6310470152,2.7326276318,2.7384454131
2038.047090,2.3612443145,2.6065888647,2.7071450092,2.7186169426
2038.134746,2.3352031855,2.5824452333,2.6819884146,2.6989866908
2038.222401,2.3095385205,2.5586111352,2.6571521268,2.6795524767
2038.310057,2.2842418980,2.5350816297,2.6326305286,2.6603120983
2038.397713,2.2593052105,2.5118518254,2.6084181069,2.6412633363
2038.485368,2.2347206534,2.4889168831,2.5845094523,2.6224039581
2038.573024,2.2104807141,2.4662720191,2.5608992593,2.6037317202
2038.660679,2.1865781609,2.4439125078,2.5375823251,2.5852443723
2038.748335,2.1630060324,2.4218336842,2.5145535495,2.5669396594
2038.835990,2.1397576267,2.4000309461,2.4918079339,2.5488153251
2038.923646,2.1168264915,2.3784997562,2.4693405806,2.5308691142
2039.011302,2.0942064130,2.3572356433,2.4471466915,2.5130987747
2039.098957,2.0718914065,2.3362342042,2.4252215675,2.4955020604
2039.186613,2.0498757065,2.3154927817,2.4035606070,2.4780767331
2039.274268,2.0281537566,2.2950070487,2.3821593046,2.4608205645
2039.361924,2.0067202004,2.2747710876,2.3610132503,2.4437313380
2039.449579,1.9855698725,2.2547807801,2.3401181275,2.4268068504
2039.537235,1.9646977890,2.2350320794,2.3194697121,2.4100449138
2039.624891,1.9440991396,2.2155210114,2.2990638710,2.3934433566
2039.712546,1.9237692783,2.1962436744,2.2788965604,2.3770000254
2039.800202,1.9037037161,2.1771962393,2.2589638245,2.3607127860
2039.887857,1.8838981123,2.1583749491,2.2392617937,2.3445795243
2039.975513,1.8643482674,2.1397761194,2.2197866837,2.3285981482
2040.063168,1.8450501155,2.1213961373,2.2005347930,2.3127665875
2040.150824,1.8259997174,2.1032314612,2.1815025021,2.2970827958
2040.238480,1.8071932534,2.0852786204,2.1626862717,2.2815467336
2040.326135,1.7886270170,2.0675342143,2.1440826409,2.2661569316
2040.413791,1.7702974087,2.0499949117,2.1256882260,2.2509087786
2040.501446,1.7522009295,2.0326574499,2.1074997184,2.2358003312
2040.589102,1.7343341758,2.0155186340,2.0895138837,2.2208296728
2040.676757,1.7166938333,1.9985753359,2.0717275595,2.2059949138
2040.764413,1.6992766718,1.9818244932,2.0541376542,2.1912941921
2040.852068,1.6820795408,1.9652631083,2.0367411454,2.1767256735
2040.939724,1.6650993638,1.9488882472,2.0195355379,2.1622875516
