Equipment Type,Technology Node (nm),Capability Type,Year,Status,Source URL,Key Quote,Analysis Notes
DUV Scanner,180,Pilot,2009,Achieved,https://baike.baidu.com/item/上海微电子装备（集团）股份有限公司/51151397,"In 2009, the first advanced packaging lithography machine product SSB500/10A was delivered","SSB500/10A is an i-line stepper for advanced packaging at 180nm-class nodes"
DUV Scanner,180,HVM,2012,Achieved,https://baike.baidu.com/item/上海微电子装备（集团）股份有限公司/51151397,"In 2012, the SSB500 series advanced packaging lithography machines achieved overseas sales","By 2012, SMEE was selling SSB500 series to overseas customers for 180nm-class packaging"
DUV Scanner,90,Pilot,N/A,Not Achieved,https://asiatimes.com/2023/02/chinas-chip-sector-enters-a-dark-forest-era/,"The delivered machine actually could only make 130nm chips with a KrF excimer laser and was never used for mass production","Multiple sources dispute SSA600 could achieve 90nm, evidence shows only 130nm capability"
DUV Scanner,90,HVM,N/A,Not Achieved,N/A,N/A,No evidence of HVM capability at 90nm
DUV Scanner,45,Pilot,N/A,Not Achieved,N/A,N/A,No evidence of Chinese DUV tool validated for 45nm production
DUV Scanner,45,HVM,N/A,Not Achieved,N/A,N/A,No evidence of HVM capability at 45nm
DUV Scanner,28,Pilot,2023,Achieved,https://en.wikipedia.org/wiki/Shanghai_Micro_Electronics_Equipment,"In December 2023, western media reported that SMEE has completed the initial development of its new SSA800-10W immersion lithography machine which has a scanning resolution capable of fabricating 28 nm-process class chips","SSA800-10W explicitly reported as capable of 28nm-class fabrication, delivered to SMIC for testing"
DUV Scanner,28,HVM,N/A,Not Achieved,https://www.tomshardware.com/tech-industry/semiconductors/chinas-largest-foundry-testing-first-domestic-immersion-duv-lithography-tool-smic-takes-significant-step-on-road-to-wafer-fab-equipment-self-sufficiency,"After the existing tool matures and gets inserted into SMIC's 28nm flow in 2027, it will take Yuliangsheng years to jump to 16nm","As of October 2025, tool is still in testing phase with projected insertion into production in 2027"
DUV Scanner,14,Pilot,N/A,Not Achieved,N/A,N/A,No evidence of Chinese DUV tool validated for 14nm production
DUV Scanner,14,HVM,N/A,Not Achieved,N/A,N/A,No evidence of HVM capability at 14nm
DUV Scanner,7,Pilot,N/A,Not Achieved,N/A,N/A,No evidence of Chinese DUV tool validated for 7nm production
DUV Scanner,7,HVM,N/A,Not Achieved,https://www.tomshardware.com/tech-industry/semiconductors/chinas-largest-foundry-testing-first-domestic-immersion-duv-lithography-tool-smic-takes-significant-step-on-road-to-wafer-fab-equipment-self-sufficiency,"Do not expect SMIC's sub-10nm fabrication processes on domestic lithography systems earlier than in 2030","Technical limitations (overlay accuracy) make 7nm production unlikely with current tools"
Photoresist,180,Pilot,2009,Achieved,http://m.eeo.com.cn/2022/0408/529591.shtml,"In 2009, Beijing Kehua completed the G/I line photoresist production line, which was also China's first G/I line photoresist production line","Beijing Kehua completed China's first G-line (436nm) production line in 2009 for 180nm-class nodes"
Photoresist,180,HVM,2018,Achieved,https://zhuanlan.zhihu.com/p/490801032,"In 2018, the company's I-line photoresist entered mass production with capacity of 100 tons/year","Suzhou Ruihong achieved I-line mass production in 2018 with 100 tons/year capacity for 180nm-class nodes"
Photoresist,90,Pilot,2009,Achieved,http://m.eeo.com.cn/2022/0408/529591.shtml,"In 2009, Beijing Kehua completed the G/I line photoresist production line","Beijing Kehua's 2009 G/I line included I-line (365nm) capability for 90nm-class nodes"
Photoresist,90,HVM,2018,Achieved,https://zhuanlan.zhihu.com/p/490801032,"In 2018, the company's I-line photoresist entered mass production with capacity of 100 tons/year","Suzhou Ruihong achieved I-line mass production in 2018 with 100 tons/year capacity for 90nm-class nodes"
Photoresist,45,Pilot,2020,Achieved,https://cs.com.cn/5g/202012/t20201218_6121968.html,"Nanda Optoelectronics' ArF photoresist product test met all process specification requirements with acceptable yield","Nanda Optoelectronics' ArF photoresist passed validation for 50nm flash memory for 45-90nm lithography needs"
Photoresist,45,HVM,N/A,Not Achieved,N/A,N/A,While 50nm platform validation supports 45nm, no evidence of 45nm HVM production using Chinese ArF photoresist
Photoresist,28,Pilot,2021,Achieved,https://www.stcn.com/article/detail/646810.html,"ArF immersion photoresist applied to via hole processes can already be applied to 40nm/28nm process nodes, and is China's first domestically produced ArF immersion via hole photoresist","Xuzhou Bokang developed ArF immersion photoresist capable of 28nm process nodes by 2021 for via hole processes"
Photoresist,28,HVM,N/A,Not Achieved,http://www.bcpharma.com/products1/typeid/1.html,"Currently 5+ products are being validated at well-known domestic 12-inch fabs, and some products have received volume orders","Products in validation at major fabs with some volume orders, but may be small quantities rather than true HVM-scale production"
Photoresist,14,Pilot,N/A,Not Achieved,N/A,N/A,No evidence of Chinese indigenous ArF immersion photoresist validated for 14nm production
Photoresist,14,HVM,N/A,Not Achieved,N/A,N/A,No evidence of Chinese indigenous ArF immersion photoresist capable of 14nm HVM production
Photoresist,7,Pilot,N/A,Not Achieved,N/A,N/A,7nm nodes require highly specialized ArF immersion photoresist formulations
Photoresist,7,HVM,N/A,Not Achieved,N/A,N/A,No evidence of Chinese indigenous ArF immersion photoresist capable of 7nm HVM production
Overlay Metrology,180,Pilot,2021,Achieved,https://zhuanlan.zhihu.com/p/654574043,"Overlay metrology equipment: applied to integrated circuit 90nm and above process nodes - achieved batch sales","Zhongke Feitest's tools for 90nm+ nodes achieved batch sales, sufficient for 180nm with less stringent requirements"
Overlay Metrology,180,HVM,2023,Achieved,https://zhuanlan.zhihu.com/p/654574043,"Batch sales (批量销售) in Chinese semiconductor industry terminology indicates volume production capability suitable for HVM","Batch sales achieved, indicating thousands of wafers per month throughput capability"
Overlay Metrology,90,Pilot,2021,Achieved,https://zhuanlan.zhihu.com/p/654574043,"Overlay metrology equipment: applied to integrated circuit 90nm and above process nodes - achieved batch sales","Zhongke Feitest achieved batch sales for 90nm and above nodes by 2021-2023"
Overlay Metrology,90,HVM,2023,Achieved,https://zhuanlan.zhihu.com/p/654574043,"Batch sales (批量销售) indicates the tools moved beyond pilot to volume production capability","Volume production achieved, supporting HVM operations at thousands of wafers per month"
Overlay Metrology,45,Pilot,2023,Achieved,https://zhuanlan.zhihu.com/p/654574043,"2Xnm (20-29nm) overlay metrology equipment (DRAGONBLOOD-600) passed customer production line verification by 2023 and received multiple customer orders","With double patterning, 28nm tools can theoretically reach 45nm (28nm × 2)"
Overlay Metrology,45,HVM,N/A,Not Achieved,N/A,N/A,Without batch sales status, no evidence of HVM-level throughput capability at 45nm
Overlay Metrology,28,Pilot,2023,Achieved,https://zhuanlan.zhihu.com/p/654574043,"2Xnm (20-29nm) overlay metrology equipment for 2Xnm (20-29nm) nodes passed customer production line verification by 2023 and received orders","Zhongke Feitest's DRAGONBLOOD-600 passed validation for 28nm process requirements"
Overlay Metrology,28,HVM,N/A,Not Achieved,N/A,N/A,Equipment passed verification and received orders but no batch sales mentioned for HVM capability
Overlay Metrology,14,Pilot,N/A,Not Achieved,https://zhuanlan.zhihu.com/p/631537007,"DRAGONBLOOD-600 type overlay metrology equipment for 2Xnm and below lines is currently in production line verification","No evidence of successful verification at 14nm node specifically"
Overlay Metrology,14,HVM,N/A,Not Achieved,N/A,N/A,No evidence of Chinese overlay metrology system achieving HVM at 14nm
Overlay Metrology,7,Pilot,N/A,Not Achieved,https://zhuanlan.zhihu.com/p/631537007,"Equipment for 2Xnm and below lines in production line verification","No evidence of 7nm node verification in any source"
Overlay Metrology,7,HVM,N/A,Not Achieved,N/A,N/A,No evidence of Chinese overlay metrology system achieving HVM at 7nm; industry sources suggest sub-10nm not before 2030
Ion Implanter,180,Pilot,N/A,Not Achieved,https://www.stdaily.com/web/gdxw/2024-03/19/content_1954726.html,"China's ion implanter process precision was only 0.5 microns, which was three generations behind the international advanced level of 90 nanometers","Around 2003, China's ion implanter precision was only 500nm, no capability for 180nm"
Ion Implanter,180,HVM,N/A,Not Achieved,N/A,N/A,No evidence of indigenous Chinese ion implanters achieving HVM capability for 180nm
Ion Implanter,90,Pilot,2008,Achieved,https://www.cetc.com.cn/zgdk/1592571/1639454/1797603/index.html,"China's first domestically produced medium-current ion implanter was successfully developed in 2008, achieving a breakthrough from 0 to 1","First domestic medium-current ion implanter developed in 2008 targeting 100nm capability"
Ion Implanter,90,HVM,N/A,Not Achieved,N/A,N/A,No clear evidence of HVM-level throughput achieved for 90nm nodes before 2012
Ion Implanter,45,Pilot,2015,Achieved,https://www.sastind.gov.cn/n10086200/n10086344/c10185220/content.html,"In 2015, small-batch product process verification was completed for 55nm, 45nm, and 40nm at SMIC, and the first domestic medium-current ion implanter achieved over one million production wafers","CETC completed 45nm process verification at SMIC in 2015"
Ion Implanter,45,HVM,2016,Achieved,https://www.sastind.gov.cn/n10086200/n10086344/c10185220/content.html,"In 2016, a new model of 45-22nm low-energy high-current ion implanter meeting high-end process requirements was launched, with medium-current and low-energy high-current series products applied in batch to IC production lines","By 2016, medium-current and high-current ion implanters applied in batch to IC production lines"
Ion Implanter,28,Pilot,2012,Achieved,https://www.stdaily.com/web/gdxw/2024-03/19/content_1954726.html,"At the end of 2012, the R&D team successfully developed a 28-nanometer medium-current ion implanter","28nm medium-current ion implanter developed by end of 2012"
Ion Implanter,28,HVM,2023,Achieved,https://www.cetc.com.cn/zgdk/1592571/1592492/1779226/index.html,"In 2023, the R&D team successfully achieved full coverage of all series of ion implanters for the 28-nanometer process","CETC announced full 28nm coverage across all ion implanter types in 2023"
Ion Implanter,14,Pilot,N/A,Not Achieved,https://www.sastind.gov.cn/n10086200/n10086344/c10185220/content.html,"28-14nm polishing equipment and complete process and material industrialization","Project referred to CMP (polishing) equipment, not ion implanters"
Ion Implanter,14,HVM,N/A,Not Achieved,N/A,N/A,No evidence of 14nm ion implanter development or HVM capability
Ion Implanter,7,Pilot,N/A,Not Achieved,N/A,N/A,No sources mention any development or plans for 7nm indigenous ion implanters in China
Ion Implanter,7,HVM,N/A,Not Achieved,N/A,N/A,No evidence of any Chinese indigenous ion implanter development for 7nm processes
Electroplating,180,Pilot,N/A,Not Achieved,N/A,N/A,No evidence of indigenous Chinese electroplating equipment development for 180nm node
Electroplating,180,HVM,N/A,Not Achieved,N/A,N/A,No evidence of HVM capability for 180nm
