time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.083333,0.8100256533,0.9106842710,0.9222964270,0.8879860478,0.7213068312,0.5735283739,1.1071188274,0.7048305375,0.7048305375,0.6064070467,0.4639822156
0.166667,0.8797202574,0.9426592455,0.9150234616,0.7986313784,0.7076936486,0.5999623477,1.0919117477,0.7282183740,0.7282183740,0.6517577297,0.5236143718
0.250000,0.8340945694,0.9034621459,0.8423537390,0.6742047953,0.6229271558,0.5653936768,0.9765931813,0.6706235258,0.6706235258,0.6094086350,0.5096742473
0.333333,0.7617639794,0.8376656810,0.7562579846,0.5771270571,0.5322776813,0.5120257192,0.8455634198,0.6005115251,0.6005115251,0.5470462202,0.4704941251
0.416667,0.6891428991,0.7628660780,0.6726486364,0.5054529763,0.4530923616,0.4555465190,0.7258097449,0.5340657482,0.5340657482,0.4858490066,0.4247225121
0.500000,0.6229088351,0.6873829555,0.5964978164,0.4501508017,0.3887634518,0.4023969838,0.6241590045,0.4753849974,0.4753849974,0.4316378088,0.3801729599
0.583333,0.5635381863,0.6153162553,0.5288627077,0.4049752983,0.3382605660,0.3550081154,0.5398821046,0.4252225480,0.4252225480,0.3851158716,0.3399550437
0.666667,0.5099628170,0.5485977210,0.4694140356,0.3664583199,0.2991855145,0.3139430873,0.4700056742,0.3830638963,0.3830638963,0.3455440387,0.3049965471
0.750000,0.4610893932,0.4879814191,0.4173949701,0.3327373359,0.2688799891,0.2789001017,0.4114867944,0.3477624343,0.3477624343,0.3119397024,0.2752001580
0.833333,0.4161747434,0.4335714526,0.3719676547,0.3027307632,0.2449025904,0.2492138675,0.3619058340,0.3179311451,0.3179311451,0.2833722735,0.2500109905
0.916667,0.3748110836,0.3851196650,0.3323241050,0.2757247435,0.2252487942,0.2241116869,0.3195122317,0.2922629599,0.2922629599,0.2589945380,0.2287101272
1.000000,0.3368134051,0.3421988713,0.2977159659,0.2512268756,0.2084240390,0.2028410962,0.2830558017,0.2697261991,0.2697261991,0.2380371909,0.2105712736
1.083333,0.3021119456,0.3043047969,0.2674622989,0.2289317704,0.1934199246,0.1847277912,0.2516032497,0.2496091455,0.2496091455,0.2198177840,0.1949424876
1.166667,0.2706744599,0.2709156464,0.2409537777,0.2086897173,0.1796327085,0.1691955802,0.2244085263,0.2314560357,0.2314560357,0.2037567529,0.1812829742
1.250000,0.2424558759,0.2415259258,0.2176560335,0.1904419926,0.1667577922,0.1557663959,0.2008418681,0.2149656716,0.2149656716,0.1893864450,0.1691716153
1.333333,0.2173680696,0.2156644633,0.1971105746,0.1741417930,0.1546855493,0.1440508236,0.1803594549,0.1999089974,0.1999089974,0.1763478241,0.1582981825
1.416667,0.1952647190,0.1929027484,0.1789318554,0.1596956863,0.1434139935,0.1337351289,0.1624936119,0.1860883327,0.1860883327,0.1643774418,0.1484451840
1.500000,0.1759385827,0.1728574241,0.1628004100,0.1469456742,0.1329848172,0.1245680378,0.1468494084,0.1733321256,0.1733321256,0.1532901013,0.1394661352
1.583333,0.1591292338,0.1551893573,0.1484531080,0.1356886660,0.1234426919,0.1163488518,0.1331003728,0.1615058301,0.1615058301,0.1429616673,0.1312641932
1.666667,0.1445387238,0.1396008237,0.1356721251,0.1257148959,0.1148137954,0.1089174919,0.1209810885,0.1505207068,0.1505207068,0.1333141779,0.1237735228
1.750000,0.1318518520,0.1258317727,0.1242741927,0.1168443073,0.1070980026,0.1021465095,0.1102771861,0.1403311887,0.1403311887,0.1243035317,0.1169445337
1.833333,0.1207573838,0.1136557681,0.1141013094,0.1089466518,0.1002693477,0.0959348295,0.1008142765,0.1309208892,0.1309208892,0.1159091565,0.1107332652
1.916667,0.1109669227,0.1028759626,0.1050135786,0.1019410191,0.0942804870,0.0902028775,0.0924473689,0.1222831569,0.1222831569,0.1081250440,0.1050946487
2.000000,0.1022290554,0.0933213075,0.0968843391,0.0957789380,0.0890683228,0.0848887371,0.0850518872,0.1144033308,0.1144033308,0.1009518988,0.0999790850
2.083333,0.0943375793,0.0848431006,0.0895973797,0.0904197973,0.0845592452,0.0799450219,0.0785168613,0.1072477677,0.1072477677,0.0943905122,0.0953316354
2.166667,0.0871337800,0.0773119125,0.0830457960,0.0858079093,0.0806734085,0.0753362184,0.0727404122,0.1007613372,0.1007613372,0.0884366313,0.0910931047
2.250000,0.0805036336,0.0706148953,0.0771319535,0.0818581617,0.0773280355,0.0710363301,0.0676273098,0.0948721014,0.0948721014,0.0830775456,0.0872023234
2.333333,0.0743713634,0.0646534525,0.0717680349,0.0784533742,0.0744399934,0.0670267255,0.0630881797,0.0895002084,0.0895002084,0.0782904278,0.0835990168
2.416667,0.0686909620,0.0593412415,0.0668767275,0.0754526415,0.0719279245,0.0632941514,0.0590398392,0.0845677327,0.0845677327,0.0740422558,0.0802267446
2.500000,0.0634371731,0.0546024709,0.0623917268,0.0727071067,0.0697141319,0.0598289181,0.0554062465,0.0800068864,0.0800068864,0.0702909874,0.0770355091
2.583333,0.0585971094,0.0503704572,0.0582578548,0.0700782920,0.0677263099,0.0566232882,0.0521196062,0.0757651546,0.0757651546,0.0669875806,0.0739837536
2.666667,0.0541632796,0.0465864045,0.0544307087,0.0674542978,0.0658991024,0.0536701111,0.0491212852,0.0718070115,0.0718070115,0.0640784597,0.0710395923
2.750000,0.0501283925,0.0431983747,0.0508758475,0.0647604988,0.0641754106,0.0509617401,0.0463623147,0.0681126764,0.0681126764,0.0615080857,0.0681812215
2.833333,0.0464819803,0.0401604187,0.0475675943,0.0619632289,0.0625073475,0.0484892572,0.0438033770,0.0646748012,0.0646748012,0.0592213767,0.0653965590
2.916667,0.0432086426,0.0374318424,0.0444875732,0.0590667667,0.0608567524,0.0462420077,0.0414142781,0.0614940879,0.0614940879,0.0571658102,0.0626822275
3.000000,0.0402875890,0.0349765842,0.0416231146,0.0561052893,0.0591952177,0.0442074284,0.0391729854,0.0585747244,0.0585747244,0.0552931174,0.0600420446
3.083333,0.0376931128,0.0327626855,0.0389656614,0.0531321261,0.0575036348,0.0423711337,0.0370643554,0.0559203116,0.0559203116,0.0535605338,0.0574852052
3.166667,0.0353956466,0.0307618373,0.0365092881,0.0502086481,0.0557713183,0.0407172073,0.0350786928,0.0535307094,0.0535307094,0.0519316116,0.0550243429
3.250000,0.0333631111,0.0289489877,0.0342494177,0.0473946325,0.0539948105,0.0392286427,0.0332102806,0.0514000053,0.0514000053,0.0503766221,0.0526736355
3.333333,0.0315623326,0.0273020012,0.0321817872,0.0447412118,0.0521764943,0.0378878672,0.0314559966,0.0495156242,0.0495156242,0.0488725930,0.0504470963
3.416667,0.0299603812,0.0258013581,0.0303016843,0.0422867586,0.0503231507,0.0366772939,0.0298141049,0.0478584630,0.0478584630,0.0474030323,0.0483571487
3.500000,0.0285257318,0.0244298874,0.0286034458,0.0400554663,0.0484445838,0.0355798484,0.0282832755,0.0464038380,0.0464038380,0.0459573955,0.0464135461
3.583333,0.0272292010,0.0231725276,0.0270801916,0.0380580081,0.0465524104,0.0345794302,0.0268618583,0.0451229880,0.0451229880,0.0445303547,0.0446226608
3.666667,0.0260446420,0.0220161087,0.0257237526,0.0362935220,0.0446590754,0.0336612815,0.0255474078,0.0439848602,0.0439848602,0.0431209309,0.0429871308
3.750000,0.0249493996,0.0209491550,0.0245247449,0.0347522065,0.0427771181,0.0328122466,0.0243364384,0.0429579306,0.0429579306,0.0417315474,0.0415058300
3.833333,0.0239245431,0.0199617018,0.0234727429,0.0334179642,0.0409186778,0.0320209194,0.0232243742,0.0420118559,0.0420118559,0.0403670620,0.0401741054
3.916667,0.0229549003,0.0190451284,0.0225565105,0.0322707272,0.0390952026,0.0312776840,0.0222056525,0.0411188142,0.0411188142,0.0390338312,0.0389842187
4.000000,0.0220289219,0.0181920026,0.0217642544,0.0312882861,0.0373173087,0.0305746623,0.0212739333,0.0402544619,0.0402544619,0.0377388529,0.0379259229
4.083333,0.0211384104,0.0173959369,0.0210838755,0.0304475986,0.0355947322,0.0299055870,0.0204223727,0.0393984920,0.0393984920,0.0364890260,0.0369871080
4.166667,0.0202781442,0.0166514565,0.0205032012,0.0297256526,0.0339363201,0.0292656209,0.0196439206,0.0385348320,0.0385348320,0.0352905565,0.0361544592
4.250000,0.0194454335,0.0159538777,0.0200101901,0.0291000113,0.0323500194,0.0286511437,0.0189316067,0.0376515486,0.0376515486,0.0341485266,0.0354140791
4.333333,0.0186396365,0.0152991956,0.0195931068,0.0285491729,0.0308428371,0.0280595259,0.0182787925,0.0367405442,0.0367405442,0.0330666320,0.0347520384
