milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,234,30,264,88.64,0.6107,0.2552,1.4865,10.3506
AIR-5x,183,81,264,69.32,0.4440,0.1819,0.9203,10.2489
AIR-25x,229,35,264,86.74,0.4237,0.1944,1.9552,20.8424
AIR-250x,206,58,264,78.03,0.6521,0.3441,3.8092,48.3052
AIR-2000x,168,96,264,63.64,0.3734,0.3631,5.5218,52.6802
AIR-10000x,144,120,264,54.55,0.5557,0.3801,5.8388,60.0340
SAR-level-experiment-selection-skill,231,33,264,87.50,0.4591,0.1422,1.5549,12.6249
SIAR-level-experiment-selection-skill,257,7,264,97.35,0.5807,0.4048,4.0234,30.7294
STRAT-AI,257,7,264,97.35,0.5807,0.4048,4.0234,30.7294
TED-AI,248,16,264,93.94,0.5576,0.4007,5.1755,41.3703
ASI,246,18,264,93.18,0.6259,0.5635,8.8364,63.3758
