time,L_HUMAN,inference_compute,experiment_compute,training_compute_growth_rate
2012.0,13.36587366,0.001623671838,0.002914771509,0.6532125138
2013.0,17.37563576,0.005717914825,0.01165908604,0.6532125138
2014.0,22.58832649,0.02013618096,0.04663634415,0.6549976392
2015.0,29.36482443,0.07071144352,0.1872534481,0.652557141
2016.0,38.17427176,0.2496773592,0.7479727289,0.6533616623
2017.0,49.62655329,0.8927676355,2.9928381,0.6568230617
2018.0,64.51451928,2.514641481,12.06343599,0.6618888381
2019.0,83.86887506,7.372574389,49.15049593,0.5687242272
2020.0,109.0295376,24.11105106,164.3296066,0.5724755803
2021.0,141.7383989,84.21052632,553.8106649,0.6099015913
2022.0,255.1291179,310,2020.700857,0.6294267422
2023.0,459.2324123,1268,7684.91183,0.6444259432
2024.0,826.6183421,4964.735135,30171.74155,0.6517982691
2025.0,1487.913016,24283.24622,120325.278,0.6433455603
2026.0,2678.243428,103664.8207,471327.2881,0.5926277124
2027.0,4820.838171,333498.3688,1657838.112,0.5147270595
2028.0,8677.508708,785493.1847,4942666.816,0.4661298522
2029.0,14751.7648,1803327.968,13291957.72,0.4434333988
2029.5,18659.67051,3536566.745,22146528.05,0.3709446971
2030.0,23602.82369,6435081.989,36899658.78,0.2984559955
2031.0,35404.23553,10289492.92,73363213.38,0.2524165078
2032.0,49565.92974,16036405.51,131188224.2,0.2370371701
2033.0,64435.70866,24548316.33,226428986.9,0.2267244264
2034.0,83766.42126,37068109.78,381642251.9,0.2191372696
2035.0,108896.3476,55351548.4,632111540.7,0.2131084917
2036.0,141565.2519,81858147.76,1032528888,0.2080071295
2037.0,169878.3023,120004252.9,1666899209,0.203473869
2038.0,203853.9628,174495087.6,2663073847,0.1992968314
2039.0,244624.7553,251755778.5,4213859402,0.1953480094
2040.0,293549.7064,360484747.1,6607361225,0.1915486953
2041.0,322904.6771,498745092.7,10270149030,0.1875087015
2042.0,355195.1448,674133008.3,15815591794,0.1729222549
2043.0,390714.6592,895984131.6,23550910504,0.1627551717
2044.0,429786.1252,1175716209,34258068531,0.1552127229
2045.0,472764.7377,1527225164,48975129915,0.1493295767
2046.0,520041.2114,1967339556,69072499732,0.14454261
2047.0,572045.3326,2516338059,96349126884,0.1405035425
2048.0,629249.8658,3198534030,133153113482,0.1369874279
2049.0,692174.8524,4042930377,182531891293,0.1338441376
2050.0,761392.3377,5083946709,248417902954,0.1309709174
2051.0,837531.5714,6362219235,335856539374,0.1282960376
2052.0,920845.7941,7925471880,451283906679,0.125768633
2053.0,1011967.819,9829454715,602862790327,0.1233521707
2054.0,1111582.232,12138942958,800885904123,0.1210201305
2055.0,1220429.272,14928786538,1058256100071,0.1187530843
2056.0,1339308.979,18284996541,1391053601081,0.1165366827
2057.0,1469085.608,22305850762,1819200419739,0.1143602475
2058.0,1610692.351,27102996257,2367231848020,0.1122157746
2059.0,1765136.36,32802522175,3065184139529,0.1100972201
2060.0,1933504.1,39545971487,3949606144142,0.1079999853
2061.0,2116967.056,47491255597,5064700576854,0.105920542
2062.0,2316787.795,56813431486,6463597690958,0.1038561585
2063.0,2534326.432,67705297048,8209760270557,0.1018046983
2064.0,2771047.485,80377757099,10378513964245,0.09976447092
2065.0,3028527.181,95059910144,13058690981273,0.09773412173
2066.0,3308461.202,111998804872,16354368029812,0.09571254998
2067.0,3612672.919,131458815558,20386671108053,0.09369884768
2068.0,3943122.124,153720587493,25295610436313,0.09169225401
2069.0,4301914.301,179079507285,31241898587044,0.08969212142
2070.0,4691310.448,207843658674,38408693957239,0.08769789036
2071.0,5113737.492,240331232411,47003200452531,0.08570907049
2072.0,5571799.316,276867368825,57258043029513,0.08372522693
2073.0,6068288.446,317780423952,69432328085627,0.08174597019
2074.0,6606198.403,363397664297,83812288200868,0.0797709489
2075.0,7188736.785,414040411379,100711403112461,0.07779984482
2076.0,7819339.091,470018674629,120469883795760,0.07583236943
2077.0,8501683.332,531625329784,143453404923822,0.07386826185
2078.0,9239705.467,599129918909,170050973578832,0.0719072877
2079.0,10037615.71,672772167154,200671829643624,0.0699492388
2080.0,10899915.71,752755329503,235741286476082,0.06799393338
2081.0,11831416.73,839239497487,275695439780049,0.06604121679
2082.0,12837258.76,932335010311,320974698346835,0.06409096256
